Date,Open,High,Low,Close,Volume,Dividend,Split,Adj_Open,Adj_High,Adj_Low,Adj_Close,Adj_Volume
11/13/2018,191.63,197.18,191.4501,192.23,46882936,0,1,191.63,197.18,191.4501,192.23,46882936
11/12/2018,199,199.85,193.79,194.17,51135518,0,1,199,199.85,193.79,194.17,51135518
11/9/2018,205.55,206.01,202.25,204.47,34365750,0,1,205.55,206.01,202.25,204.47,34365750
11/8/2018,209.98,210.12,206.75,208.49,25362636,0.73,1,209.98,210.12,206.75,208.49,25362636
11/7/2018,205.97,210.06,204.13,209.95,33424434,0,1,205.2513397,209.3270691,203.4177598,209.2174529,33424434
11/6/2018,201.92,204.72,201.69,203.77,31882881,0,1,201.2154708,204.0057012,200.9862733,203.0590159,31882881
11/5/2018,204.3,204.39,198.17,201.59,66163669,0,1,203.5871666,203.6768526,197.4785551,200.8866222,66163669
11/2/2018,209.55,213.65,205.43,207.48,91328654,0,1,208.8188486,212.9045431,204.7132239,206.7560711,91328654
11/1/2018,219.05,222.36,216.81,222.22,58323180,0,1,218.2857017,221.5841526,216.0535174,221.444641,58323180
10/31/2018,216.88,220.45,216.62,218.86,38358933,0,1,216.1232731,219.6808168,215.8641803,218.0963646,38358933
10/30/2018,211.15,215.18,209.27,213.3,36659990,0,1,210.4132659,214.4292047,208.5398255,212.5557643,36659990
10/29/2018,219.19,219.69,206.09,212.24,45935520,0,1,218.4252132,218.9234686,205.370921,211.4994628,45935520
10/26/2018,215.9,220.19,212.67,216.3,47258375,0,1,215.1466925,219.421724,211.9279624,215.5452968,47258375
10/25/2018,217.71,221.38,216.75,219.8,29855768,0,1,216.9503771,220.6075719,215.9937267,219.0330848,29855768
10/24/2018,222.6,224.23,214.54,215.09,40925163,0,1,221.8233152,223.4476279,213.7914377,214.3395187,40925163
10/23/2018,215.83,223.25,214.7,222.73,38767846,0,1,215.0769367,222.4710472,213.9508795,221.9528616,38767846
10/22/2018,219.79,223.36,218.94,220.65,28792082,0,1,219.0231197,222.5806634,218.1760855,219.880119,28792082
10/19/2018,218.06,221.26,217.43,219.31,33078726,0,1,217.2991559,220.4879906,216.6713541,218.5447945,33078726
10/18/2018,217.86,219.74,213,216.02,32581315,0,1,217.0998537,218.9732941,212.256811,215.2662738,32581315
